Time,Country Code,Female Senior Mgmt Share,"Prevalence of overweight, male (% of male adults) ",Females with HIV+ Share,Female Agriculture Grads Share,"Female share of graduates in Arts and Humanities programmes, tertiary (%) ",Female Edu Grads Share,Female Health Grads Share,Female Services Grads Share,Female Graduation Ratio,Male Industry Employment,Male Employment Ratio,Advanced Edu Labor Force,Female Advanced Edu Labor Force,Female Basic Edu Labor Force,Intermediate Edu Labor Force,Female Intermediate Edu Labor Force,Female Labor Force,Male Labor Force,Total Labor Force,Paid Maternity Leave,Length of paid parental leave for father (calendar days) ,Paid Parental Leave,"Part time employment, male (% of total male employment) ",Total Part Time Employment,Female to Male Labor Force Ratio,"Self-employed, male (% of male employment) (modeled ILO estimate) ",Female Population,Male Population,Total Population,Rural Population,Urban population (% of total population) ,Agricultural Land,Cooling Degree Days,Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Heating Degree Days,Individuals using the Internet (% of population),Land Surface Temperature,Net migration,Population density (people per sq. km of land area),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Scientific and technical journal articles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Value
2016,CHE,31.2000007629395,62.6,27.3,36.61561,62.36251,70.04731,75.15095,38.08196,53.980554962158195,29.9099998474121,70.8899993896484,80.9899978637695,80.2900009155273,42.8300018310547,67.3499984741211,62.4900016784668,2273934.0,2612739.0,4886342.0,98.0,0.0,0.0,20.8199996948242,34.5900001525879,84.3463382984507,16.8500003814697,4225760.0,4147577.0,8373338.0,26.261,73.739,38.3634970415803,84.51,97.98,31.7681204311263,2.0686896670996,8077.58,89.13468774,12.4378562,70637.0,211.897247775143,32.0,84.3463433627368,21982.57,4.92,44.0
2016,CHE,31.2000007629395,62.6,27.3,36.61561,62.36251,70.04731,75.15095,38.08196,53.980554962158195,29.9099998474121,70.8899993896484,80.9899978637695,80.2900009155273,42.8300018310547,67.3499984741211,62.4900016784668,2273934.0,2612739.0,4886342.0,98.0,0.0,0.0,20.8199996948242,34.5900001525879,84.3463382984507,16.8500003814697,4225760.0,4147577.0,8373338.0,26.261,73.739,38.3634970415803,84.51,97.98,31.7681204311263,2.0686896670996,8077.58,89.13468774,12.4378562,70637.0,211.897247775143,32.0,84.3463433627368,21982.57,4.92,14.0
2017,CHE,29.1000003814697,62.2,27.4,36.47541,61.05755,69.18106,73.82972,40.79511,52.8513717651367,29.4799995422363,71.0699996948242,81.0400009155273,80.5100021362305,41.3699989318848,66.879997253418,61.9599990844727,2283285.0,2637091.0,4920491.0,98.0,0.0,0.0,22.0900001525879,35.189998626709,84.0603263379285,16.6299991607666,4261807.0,4190034.0,8451840.0,26.239,73.761,38.2882339141862,132.63,97.74,31.855173710517,1.36279955711416,8096.91,89.68614767,12.0613888,45208.0,213.883833978261,32.5,84.0603260723591,22442.37,4.8,44.0
2018,CHE,31.0,62.2,27.4,35.147712,61.65103800000001,69.47687999999998,74.45270599999999,39.671116,54.4756011962891,29.6800003051758,71.0,81.3600006103516,80.4400024414063,43.0999984741211,66.4599990844727,61.8300018310547,2309255.0,2647047.0,4956328.0,98.0,0.0,0.0,21.8899993896484,35.1399993896484,84.7385020994044,16.5900001525879,4292467.0,4221862.0,8514329.0,26.203,73.797,38.2142538104157,132.52,101.65,31.9422269899076,2.86044579461633,7503.32,91.8,12.6893841,40899.0,215.465192227053,32.5,84.7385013337645,22189.21,4.71,40.0
2018,CHE,31.0,62.2,27.4,35.147712,61.65103799999999,69.47688,74.45270599999999,39.671116,54.4756011962891,29.6800003051758,71.0,81.3600006103516,80.4400024414063,43.0999984741211,66.4599990844727,61.8300018310547,2309255.0,2647047.0,4956328.0,98.0,0.0,0.0,21.8899993896484,35.1399993896484,84.7385020994044,16.5900001525879,4292467.0,4221862.0,8514329.0,26.203,73.797,38.2142538104157,132.52,101.65,31.9422269899076,2.86044579461633,7503.32,91.8,12.6893841,40899.0,215.465192227053,32.5,84.7385013337645,22189.21,4.71,15.0
2019,CHE,32.5999984741211,62.2,27.4,35.147712,61.65103799999999,69.47688,74.45270599999999,39.671116,57.0574798583984,29.25,70.620002746582,81.6900024414063,80.8000030517578,42.4000015258789,66.0299987792969,62.1599998474121,2326785.0,2644163.0,4971006.0,98.0,0.0,0.0,21.9200000762939,35.4700012207031,85.5121482784418,16.0300006866455,4322218.0,4253063.0,8575280.0,26.151,73.849,38.1403673395328,143.16,97.32,32.0292802692983,1.14198232505277,7883.53,93.14608695,11.9369179,43546.0,217.007629561978,41.5,85.5121467660678,22336.94,4.39,37.0
2020,CHE,31.7999992370605,62.2,27.5,37.56355,63.144762000000014,72.06172199999999,73.46868199999999,47.490482,57.3419914245605,29.6,69.9700012207031,81.2699966430664,80.5899963378906,42.1699981689453,65.5599975585938,60.8800010681152,2325126.0,2654621.0,4979813.0,98.0,0.0,0.0,24.2800006866455,36.7799987792969,85.1742827884829,16.53800010681152,4352384.0,4285784.0,8638167.0,26.085,73.915,38.0659114794679,91.46,99.03,32.116333548689,-2.37556327967653,7628.89,94.34995199,12.9370209,53786.0,218.599059672745,41.5,85.1742839233641,23075.04,4.82,13.0
2021,CHE,31.32120338756922,62.06979942693409,24.9676217765043,50.1518793581662,66.55973508309457,78.10610540974213,78.99855130659026,49.116316504298,52.08804823976533,34.5990315336211,62.89515751617344,80.65562204180611,78.89562763552952,29.74496847988883,67.94181090084393,61.95547873598115,3257139.3037249283,3803400.9914040114,7063968.836676218,128.97134670487105,24.39541547277937,24.22349570200573,23.95960466089768,33.00559886014222,80.92696854479047,17.03255586870079,7460761.200573066,7108414.76790831,14569175.962750716,25.988401146131807,74.01159885386821,44.99721226486867,365.05444126074497,96.04584527220631,28.833454483611508,2.543182961029758,6070.723151862464,74.30430902466189,14.244988753180515,30192.085959885386,146.85887631779337,26.902175851593274,80.92696850668823,16434.599627507163,8.201318051575932,20.48997134670487
2000,ISR,31.32120338756922,62.06979942693409,24.9676217765043,50.1518793581662,66.55973508309457,78.10610540974213,78.99855130659026,49.116316504298,52.08804823976533,34.5990315336211,62.89515751617344,80.65562204180611,78.89562763552952,29.74496847988883,67.94181090084393,61.95547873598115,3257139.3037249283,3803400.9914040114,7063968.836676218,128.97134670487105,24.39541547277937,24.22349570200573,23.95960466089768,33.00559886014222,80.92696854479047,17.03255586870079,7460761.200573066,7108414.76790831,14569175.962750716,25.988401146131807,74.01159885386821,44.99721226486867,365.05444126074497,96.04584527220631,28.833454483611508,2.543182961029758,6070.723151862464,74.30430902466189,14.244988753180515,30192.085959885386,146.85887631779337,26.902175851593274,80.92696850668823,16434.599627507163,8.201318051575932,20.48997134670487
2001,ISR,26.55999984741208,64.0,24.9,66.320794,65.22060400000001,69.7799,76.046268,43.90464000000001,37.2922286987305,29.5900001525879,61.7799987792969,76.99199981689455,75.20199890136719,34.398001098632825,66.16800231933595,62.34400100708008,1281190.0,1566367.0,2847056.0,84.0,0.0,0.0,33.815999603271486,43.45400009155272,77.4460516201424,15.539999961853,3264694.0,3174306.0,6439000.0,8.733,91.267,25.9242144177449,2469.54,76.14,7.07486136783734,0.334070643441066,1108.3,17.37862386,33.1905248,23407.0,297.550831792976,13.3333333333333,77.4460478325429,9369.95,11.81,27.0
2002,ISR,26.55999984741208,64.5,25.1,66.320794,65.22060400000001,69.7799,76.046268,43.90464000000001,38.4201011657715,28.9699993133545,60.0,76.99199981689455,75.20199890136719,34.398001098632825,66.16800231933595,62.34400100708008,1298055.0,1575518.0,2873039.0,84.0,0.0,0.0,33.815999603271486,43.45400009155272,78.0832386646636,15.5699996948242,3329934.0,3240065.0,6570000.0,8.67,91.33,26.0166358595194,2500.74,82.37,7.07948243992606,-0.114220927907823,1188.94,17.76459906,33.0614637,20672.0,303.604436229205,14.1666666666667,78.0832356389215,9681.29,12.89,24.0
2003,ISR,26.55999984741208,65.0,25.3,66.320794,65.22060400000001,69.7799,76.046268,43.90464000000001,39.1831512451172,28.5200004577637,59.5999984741211,76.22599945068359,74.33600006103518,27.644000625610364,63.52000122070312,59.5700004577637,1344231.0,1600030.0,2943707.0,84.0,0.0,0.0,29.7740005493164,40.199999999999974,79.7118689984168,16.1100006103516,3389251.0,3300450.0,6689700.0,8.607,91.393,25.4621072088725,2552.77,81.12,7.08410351201479,1.39391296405174,1347.09,19.59339366,33.1823852,17619.0,309.135859519408,15.0,79.7118723880158,9869.05,13.51,25.0
2004,ISR,25.65999984741208,65.5,25.4,56.68584599999999,64.19986800000001,71.35739,74.2739,44.21276400000001,40.408821105957,28.0799999237061,60.6399993896484,77.41600036621094,74.43399963378909,25.12000045776366,62.927999877929686,58.2779998779297,1381094.0,1642598.0,3023076.0,84.0,0.0,0.0,24.690000534057617,36.35199966430662,79.8690805774782,15.460000038147,3448279.0,3360721.0,6809000.0,8.544,91.456,23.7292051756007,2440.86,86.46,7.08872458410351,4.7844674262581,1366.86,22.77048553,32.81338,15542.0,314.648798521257,15.0,79.8690766690533,10407.28,13.03,25.0
